anno_acc,anno_sol,id_ateneo,ateneo_breve,imm_maschi,imm_femmine,imm_fs,imm_nfs,imm_totali_s,imm_totali,isc_maschi,isc_femmine,isc_1anno,isc_fs,isc_nfs,isc_totali,lau_maschi,lau_femmine,lau_totali
2019/2020,NA,06302,Napoli Parthenope,1148,805,10,1871,34,1953,6125,4637,3143,74,10354,10762,NA,NA,NA
2019/2020,NA,06303,Napoli L'Orientale,454,1707,130,1886,89,2161,2330,9237,3246,1114,9939,11567,NA,NA,NA
2019/2020,NA,06304,Benincasa,223,1257,13,1432,11,1480,1244,7115,2500,71,7998,8359,NA,NA,NA
2019/2020,NA,06306,Napoli II,1430,1880,70,3156,92,3310,9375,13360,5650,450,21444,22735,NA,NA,NA
2019/2020,NA,06307,Napoli Pegaso,3849,1474,3858,1288,26,5323,30508,23445,24063,38151,15759,53953,NA,NA,NA
2019/2020,NA,06501,Salerno,2853,3173,209,5756,88,6026,15627,19490,9051,1541,33167,35117,NA,NA,NA
2019/2020,NA,06601,Aquila,1045,990,338,1590,64,2035,7118,8689,4194,3747,9934,15807,NA,NA,NA
2019/2020,NA,06701,Teramo,403,546,104,698,18,949,2353,3136,1504,923,3923,5489,NA,NA,NA
2019/2020,NA,06901,Chieti e Pescara,1362,2524,1456,2241,128,3886,8122,14741,6379,9341,12781,22863,NA,NA,NA
2019/2020,NA,07001,Molise,490,620,425,603,11,1110,2808,3913,1786,2935,3581,6721,NA,NA,NA
2019/2020,NA,07101,Foggia,809,1162,87,1796,29,1971,3937,6547,3054,752,9496,10484,NA,NA,NA
2019/2020,NA,07201,Bari,3000,4445,382,6938,138,7445,15725,26465,11002,2622,38888,42190,NA,NA,NA
2019/2020,NA,07202,Bari Politecnico,1310,649,75,1853,28,1959,6820,3051,2742,425,9320,9871,NA,NA,NA
2019/2020,NA,07203,Jean Monnet,152,108,NA,228,2,260,941,650,423,NA,1498,1591,NA,NA,NA
2019/2020,NA,07501,Salento,1456,2157,38,3513,49,3613,6655,10790,5276,227,16993,17445,NA,NA,NA
2019/2020,NA,07601,Basilicata,486,483,185,747,13,969,2680,3591,1408,1513,4710,6271,NA,NA,NA
2019/2020,NA,07801,Calabria,1703,2143,244,3572,158,3846,10153,14105,5667,1318,22758,24258,NA,NA,NA
2019/2020,NA,07901,Catanzaro,699,1063,17,1661,44,1762,4227,6732,2556,48,9964,10959,NA,NA,NA
2019/2020,NA,08001,Reggio Calabria,380,330,30,660,40,710,2329,2535,1182,327,4468,4864,NA,NA,NA
2019/2020,NA,08003,Reggio Calabria - Dante Alighieri,27,68,39,40,54,95,130,566,212,124,513,696,NA,NA,NA
2019/2020,NA,08201,Palermo,3490,4679,40,8063,112,8169,16996,23713,12254,231,40238,40709,NA,NA,NA
2019/2020,NA,08301,Messina,1566,2412,790,3144,103,3978,8338,14248,6375,4982,17315,22586,NA,NA,NA
2019/2020,NA,08601,Enna,322,563,NA,874,9,885,1602,3159,1270,NA,4709,4761,NA,NA,NA
2019/2020,NA,08701,Catania,2726,3337,20,5964,78,6063,16325,21671,9015,203,37609,37996,NA,NA,NA
2019/2020,NA,09001,Sassari,922,1338,11,2173,51,2260,4920,8358,3820,95,12613,13278,NA,NA,NA
2019/2020,NA,09201,Cagliari,1824,2409,10,4184,56,4233,10456,14703,6938,138,24691,25159,NA,NA,NA
2020/2021,NA,00101,Torino,5755,8729,2214,11946,818,14484,31336,50046,NA,NA,NA,81382,NA,NA,NA
2020/2021,NA,00102,Torino Politecnico,3609,1593,2445,2563,823,5202,24049,9994,NA,NA,NA,34043,NA,NA,NA
2020/2021,NA,00201,Piemonte Orientale,1408,2072,988,2309,296,3480,5515,8264,NA,NA,NA,13779,NA,NA,NA
2020/2021,NA,00401,Scienze Gastronomiche,34,36,19,15,19,70,167,156,NA,NA,NA,323,NA,NA,NA
2020/2021,NA,00701,Aosta,78,167,59,130,21,245,312,700,NA,NA,NA,1012,NA,NA,NA
2020/2021,NA,01001,Genova,3176,4095,1170,5624,628,7271,14655,18580,NA,NA,NA,33235,NA,NA,NA
2020/2021,NA,01201,LIUC,308,132,38,284,9,440,1701,920,NA,NA,NA,2621,NA,NA,NA
2020/2021,NA,01202,Insubria,1461,1641,112,2897,161,3102,5502,6489,NA,NA,NA,11991,NA,NA,NA
2020/2021,NA,01301,Novedrate,1941,2044,3067,825,235,3985,9301,10852,NA,NA,NA,20153,NA,NA,NA
2020/2021,NA,01501,Milano,4586,7350,1702,9882,737,11936,25312,37202,NA,NA,NA,62514,NA,NA,NA
2020/2021,NA,01502,Milano Politecnico,5162,2601,2574,4766,459,7763,29789,15275,NA,NA,NA,45064,NA,NA,NA
2020/2021,NA,01503,Milano Bocconi,1655,1173,1814,787,597,2828,7998,5608,NA,NA,NA,13606,NA,NA,NA
2020/2021,NA,01504,Milano Cattolica,2742,5477,2466,5209,582,8219,13633,27432,NA,NA,NA,41065,NA,NA,NA
2020/2021,NA,01505,IULM,434,1350,467,1076,89,1784,1827,5113,NA,NA,NA,6940,NA,NA,NA
2020/2021,NA,01508,Milano San Raffaele,187,330,110,176,70,517,1166,2094,NA,NA,NA,3260,NA,NA,NA
2020/2021,NA,01509,Milano Bicocca,2309,3842,497,5253,316,6151,13561,21779,NA,NA,NA,35340,NA,NA,NA
2020/2021,NA,01510,Humanitas University,81,134,59,91,63,215,445,779,NA,NA,NA,1224,NA,NA,NA
2020/2021,NA,01601,Bergamo,1376,2145,41,3368,181,3521,8199,13720,NA,NA,NA,21919,NA,NA,NA
2020/2021,NA,01701,Brescia,1746,1496,100,3030,201,3242,8027,6966,NA,NA,NA,14993,NA,NA,NA
2020/2021,NA,01801,Pavia,2129,2521,1047,3352,431,4650,10366,13223,NA,NA,NA,23589,NA,NA,NA
2020/2021,NA,02101,Bolzano,202,469,215,349,77,671,1252,2833,NA,NA,NA,4085,NA,NA,NA
2020/2021,NA,02201,Trento,1484,1555,1737,1047,118,3039,7872,8203,NA,NA,NA,16075,NA,NA,NA
2020/2021,NA,02301,Verona,1617,3100,1442,3054,215,4717,8353,14972,NA,NA,NA,23325,NA,NA,NA
2020/2021,NA,02701,Ca Foscari,1368,2316,552,2779,236,3684,7797,13578,NA,NA,NA,21375,NA,NA,NA
2020/2021,NA,02702,IUAV,282,412,70,510,40,694,1650,2149,NA,NA,NA,3799,NA,NA,NA
2020/2021,NA,02801,Padova,5796,6542,1795,10146,538,12338,29946,33934,NA,NA,NA,63880,NA,NA,NA
2020/2021,NA,03001,Udine,1486,1647,615,2362,126,3133,7001,7914,NA,NA,NA,14915,NA,NA,NA
2020/2021,NA,03201,Trieste,1285,1676,769,1917,159,2961,6617,8827,NA,NA,NA,15444,NA,NA,NA
2020/2021,NA,03401,Parma,2362,3326,2052,3343,383,5688,11646,16199,NA,NA,NA,27845,NA,NA,NA
2020/2021,NA,03601,Modena e Reggio Emilia,2611,2720,822,3922,242,5331,13093,14705,NA,NA,NA,27798,NA,NA,NA
2020/2021,NA,03701,Bologna,6180,7872,5455,7973,1275,14052,36037,45598,NA,NA,NA,81635,NA,NA,NA
2020/2021,NA,03801,Ferrara,2727,4580,4288,2750,298,7307,10374,15296,NA,NA,NA,25670,NA,NA,NA
2020/2021,NA,04101,Carlo Bo,1064,1838,1107,1598,168,2902,5389,9365,NA,NA,NA,14754,NA,NA,NA
2020/2021,NA,04201,Marche,1550,1226,564,1976,117,2776,8279,6796,NA,NA,NA,15075,NA,NA,NA
2020/2021,NA,04301,Macerata,437,1202,215,1297,59,1639,2375,6976,NA,NA,NA,9351,NA,NA,NA
2020/2021,NA,04302,Camerino,812,622,315,811,88,1434,3203,2908,NA,NA,NA,6111,NA,NA,NA
2020/2021,NA,04801,Firenze,4295,5787,1395,8469,629,10082,23076,31793,NA,NA,NA,54869,NA,NA,NA
2020/2021,NA,04804,IUL,63,130,46,13,6,193,192,484,NA,NA,NA,676,NA,NA,NA
2020/2021,NA,05001,Pisa,3550,3769,1517,5469,308,7319,22855,24594,NA,NA,NA,47449,NA,NA,NA
2020/2021,NA,05201,Siena,920,1573,569,1596,208,2493,5929,9491,NA,NA,NA,15420,NA,NA,NA
2020/2021,NA,05202,Siena Stranieri,77,365,55,232,48,442,419,2025,NA,NA,NA,2444,NA,NA,NA
2020/2021,NA,05401,Perugia,2470,3688,2116,3679,325,6158,10721,15372,NA,NA,NA,26093,NA,NA,NA
2020/2021,NA,05403,Perugia Stranieri,65,109,49,84,67,174,358,742,NA,NA,NA,1100,NA,NA,NA
2020/2021,NA,05601,Tuscia,767,839,194,1239,71,1606,3803,4095,NA,NA,NA,7898,NA,NA,NA
2020/2021,NA,05801,La Sapienza,7604,10776,3251,14787,1222,18380,45007,62254,NA,NA,NA,107261,NA,NA,NA
2020/2021,NA,05802,Tor Vergata,2554,2734,620,4489,419,5288,11973,13821,NA,NA,NA,25794,NA,NA,NA
2020/2021,NA,05803,Roma LUMSA,338,721,205,672,39,1059,1841,4376,NA,NA,NA,6217,NA,NA,NA
2020/2021,NA,05805,Roma LUISS,989,858,583,990,79,1847,5048,4456,NA,NA,NA,9504,NA,NA,NA
2020/2021,NA,05806,Roma Foro Italico,346,109,12,387,8,455,1566,606,NA,NA,NA,2172,NA,NA,NA
2020/2021,NA,05807,Roma Tre,2886,3749,515,5819,440,6635,12622,18786,NA,NA,NA,31408,NA,NA,NA
2020/2021,NA,05808,Campus Biomedico,167,233,58,226,10,400,820,1297,NA,NA,NA,2117,NA,NA,NA
2020/2021,NA,05809,Roma UNINT,37,118,NA,88,5,155,369,1580,NA,NA,NA,1949,NA,NA,NA
2020/2021,NA,05810,Roma Marconi,200,291,135,75,20,491,2874,3349,NA,NA,NA,6223,NA,NA,NA
2020/2021,NA,05811,Unitelma,82,53,NA,37,9,135,799,803,NA,NA,NA,1602,NA,NA,NA
2020/2021,NA,05812,Roma Europea,92,196,33,177,10,288,478,1231,NA,NA,NA,1709,NA,NA,NA
2020/2021,NA,05813,Uninettuno,770,786,1066,200,99,1556,2815,2525,NA,NA,NA,5340,NA,NA,NA
2020/2021,NA,05815,Unicusano,1084,859,1238,388,104,1943,2401,2204,NA,NA,NA,4605,NA,NA,NA
2020/2021,NA,05816,Roma San Raffaele,482,341,376,165,22,823,4162,3606,NA,NA,NA,7768,NA,NA,NA
2020/2021,NA,05817,Link Campus,66,21,NA,37,5,87,396,159,NA,NA,NA,555,NA,NA,NA
2020/2021,NA,05818,Roma Saint Camillus,184,295,211,105,193,479,410,703,NA,NA,NA,1113,NA,NA,NA
2020/2021,NA,06001,Cassino,560,654,412,747,188,1214,3149,3636,NA,NA,NA,6785,NA,NA,NA
2020/2021,NA,06201,Sannio,411,422,22,774,6,833,2007,2093,NA,NA,NA,4100,NA,NA,NA
2020/2021,NA,06202,Benevento - Giustino Fortunato,68,81,22,42,1,149,525,648,NA,NA,NA,1173,NA,NA,NA
2020/2021,NA,06301,Napoli Federico II,6373,7913,526,13586,141,14286,31790,39614,NA,NA,NA,71404,NA,NA,NA
2020/2021,NA,06302,Napoli Parthenope,1421,905,30,2222,32,2326,6318,4595,NA,NA,NA,10913,NA,NA,NA
2020/2021,NA,06303,Napoli L'Orientale,434,1625,207,1711,76,2059,2289,9159,NA,NA,NA,11448,NA,NA,NA
2020/2021,NA,06304,Benincasa,231,1226,NA,1425,12,1457,1075,6387,NA,NA,NA,7462,NA,NA,NA
2020/2021,NA,06306,Napoli II,1419,2038,71,3247,91,3457,9334,13638,NA,NA,NA,22972,NA,NA,NA
2020/2021,NA,06307,Napoli Pegaso,3882,1618,4265,1122,148,5500,12724,12150,NA,NA,NA,24874,NA,NA,NA
2020/2021,NA,06501,Salerno,2691,3124,153,5600,59,5815,15262,18772,NA,NA,NA,34034,NA,NA,NA
2020/2021,NA,06601,Aquila,864,1045,391,1413,49,1909,6545,8224,NA,NA,NA,14769,NA,NA,NA
2020/2021,NA,06701,Teramo,416,534,112,685,23,950,2482,3286,NA,NA,NA,5768,NA,NA,NA
2020/2021,NA,06901,Chieti e Pescara,1387,2493,1348,2292,118,3880,7962,14575,NA,NA,NA,22537,NA,NA,NA
2020/2021,NA,07001,Molise,476,584,407,579,14,1060,2641,3947,NA,NA,NA,6588,NA,NA,NA
2020/2021,NA,07101,Foggia,999,1606,87,2427,32,2605,4283,7114,NA,NA,NA,11397,NA,NA,NA
2020/2021,NA,07201,Bari,3302,4374,411,7112,136,7676,15803,26040,NA,NA,NA,41843,NA,NA,NA
2020/2021,NA,07202,Bari Politecnico,1344,547,79,1798,20,1891,7314,3146,NA,NA,NA,10460,NA,NA,NA
2020/2021,NA,07203,Jean Monnet,143,79,NA,206,NA,222,865,593,NA,NA,NA,1458,NA,NA,NA
2020/2021,NA,07501,Salento,1596,2321,57,3792,61,3917,6871,11170,NA,NA,NA,18041,NA,NA,NA
2020/2021,NA,07601,Basilicata,437,525,157,774,14,962,2605,3529,NA,NA,NA,6134,NA,NA,NA
2020/2021,NA,07801,Calabria,1809,2316,295,3791,194,4125,10170,14021,NA,NA,NA,24191,NA,NA,NA
2020/2021,NA,07901,Catanzaro,709,957,14,1606,34,1666,4066,6355,NA,NA,NA,10421,NA,NA,NA
2020/2021,NA,08001,Reggio Calabria,362,441,44,738,27,803,2150,2687,NA,NA,NA,4837,NA,NA,NA
2020/2021,NA,08003,Reggio Calabria - Dante Alighieri,6,33,NA,28,11,39,95,478,NA,NA,NA,573,NA,NA,NA
2020/2021,NA,08201,Palermo,3716,4791,12,8393,100,8507,16922,23627,NA,NA,NA,40549,NA,NA,NA
2020/2021,NA,08301,Messina,2018,2830,1123,3650,327,4848,8909,14709,NA,NA,NA,23618,NA,NA,NA
2020/2021,NA,08601,Enna,326,576,14,872,7,902,1574,3309,NA,NA,NA,4883,NA,NA,NA
2020/2021,NA,08701,Catania,3029,4289,35,7187,123,7318,15874,21532,NA,NA,NA,37406,NA,NA,NA
2020/2021,NA,09001,Sassari,940,1425,29,2248,58,2365,4931,8233,NA,NA,NA,13164,NA,NA,NA
2020/2021,NA,09201,Cagliari,1858,2512,33,4302,69,4370,10489,15089,NA,NA,NA,25578,NA,NA,NA
2019/2020,NA,04804,IUL,24,30,NA,NA,NA,54,106,286,215,NA,NA,392,NA,NA,NA
2020/2021,NA,06902,Torrevecchia Teatina,NA,1,NA,NA,NA,NA,9,16,NA,NA,NA,25,NA,NA,NA
